time,pm1,pm2.5,pm10,fullserwords
2016-11-13_20:40:07,16,20,38
2016-11-13_20:40:08,60,82,148
2016-11-13_20:40:09,66,80,80
2016-11-13_20:40:10,80,86,102
2016-11-13_20:40:11,74,108,138
2016-11-13_20:40:12,38,59,59
2016-11-13_20:40:12,30,48,77
2016-11-13_20:40:13,57,70,70
2016-11-13_20:40:14,54,93,104
2016-11-13_20:40:15,55,80,110
2016-11-13_20:40:16,47,65,85
2016-11-13_20:40:17,49,68,85
2016-11-13_20:40:17,48,72,90
2016-11-13_20:40:18,48,72,88
2016-11-13_20:40:19,49,72,87
2016-11-13_20:40:20,49,71,89
2016-11-13_20:40:21,51,73,89
2016-11-13_20:40:22,53,74,91
2016-11-13_20:40:22,53,73,91
2016-11-13_20:40:23,52,70,90
2016-11-13_20:40:24,52,72,86
2016-11-13_20:40:25,52,70,83
2016-11-13_20:40:26,51,69,82
2016-11-13_20:40:27,51,69,82
2016-11-13_20:40:27,51,66,79
2016-11-13_20:40:28,51,66,79
2016-11-13_20:40:29,51,65,78
2016-11-13_20:40:30,51,65,79
2016-11-13_20:40:31,51,65,79
2016-11-13_20:40:32,51,65,79
2016-11-13_20:40:32,49,67,81
2016-11-13_20:40:33,49,67,81
2016-11-13_20:40:34,49,67,81
2016-11-13_20:40:35,50,66,80
2016-11-13_20:40:36,50,66,80
2016-11-13_20:40:37,50,66,80
2016-11-13_20:40:37,48,66,78
2016-11-13_20:40:38,48,65,78
2016-11-13_20:40:39,48,65,78
2016-11-13_20:40:40,44,60,76
2016-11-13_20:40:41,44,60,76
2016-11-13_20:40:42,44,60,76
2016-11-13_20:40:42,44,61,72
2016-11-13_20:40:43,44,61,71
2016-11-13_20:40:44,43,59,71
2016-11-13_20:40:45,44,60,71
2016-11-13_20:40:46,43,60,74
2016-11-13_20:40:47,44,60,76
2016-11-13_20:40:47,44,60,74
2016-11-13_20:40:48,44,61,75
2016-11-13_20:40:49,46,63,77
2016-11-13_20:40:50,47,65,78
2016-11-13_20:40:51,46,63,77
2016-11-13_20:40:52,47,64,78
2016-11-13_20:40:52,47,64,76
2016-11-13_20:40:53,47,64,76
2016-11-13_20:40:54,47,64,76
2016-11-13_20:40:55,46,66,78
2016-11-13_20:40:56,46,66,79
2016-11-13_20:40:57,47,66,76
2016-11-13_20:40:57,47,66,79
2016-11-13_20:40:58,47,66,79
2016-11-13_20:40:59,48,66,83
2016-11-13_20:41:00,49,69,83
2016-11-13_20:41:01,49,69,83
2016-11-13_20:41:02,48,68,82
2016-11-13_20:41:02,48,67,82
2016-11-13_20:41:03,46,65,77
2016-11-13_20:41:04,46,64,76
2016-11-13_20:41:05,46,63,76
2016-11-13_20:41:06,46,63,76
2016-11-13_20:41:06,46,63,76
2016-11-13_20:41:07,47,66,74
2016-11-13_20:41:08,47,65,73
2016-11-13_20:41:09,46,62,70
2016-11-13_20:41:10,46,61,68
2016-11-13_20:41:11,45,62,67
2016-11-13_20:41:11,47,63,70
2016-11-13_20:41:12,45,62,70
2016-11-13_20:41:13,45,63,70
2016-11-13_20:41:14,45,61,67
2016-11-13_20:41:15,45,61,67
2016-11-13_20:41:16,42,57,64
2016-11-13_20:41:16,42,58,64
2016-11-13_20:41:17,44,60,64
2016-11-13_20:41:18,44,60,64
2016-11-13_20:41:19,44,60,64
2016-11-13_20:41:20,44,60,63
2016-11-13_20:41:21,44,60,63
2016-11-13_20:41:21,44,60,63
2016-11-13_20:41:22,45,61,70
2016-11-13_20:41:23,45,60,69
2016-11-13_20:41:24,45,60,69
2016-11-13_20:41:25,47,63,72
2016-11-13_20:41:26,48,65,73
2016-11-13_20:41:26,48,68,75
2016-11-13_20:41:27,47,66,75
2016-11-13_20:41:28,47,69,77
2016-11-13_20:41:29,47,69,79
2016-11-13_20:41:30,47,69,79
2016-11-13_20:41:31,48,73,83
2016-11-13_20:41:31,48,74,84
2016-11-13_20:41:32,46,72,79
2016-11-13_20:41:33,45,71,77
2016-11-13_20:41:34,45,71,77
2016-11-13_20:41:35,49,72,78
2016-11-13_20:41:36,49,72,78
2016-11-13_20:41:36,49,72,78
2016-11-13_20:41:37,53,79,86
2016-11-13_20:41:38,59,82,91
