time,pm1,pm2.5,pm10,fullserwords
2016-11-12_15:49:37,34,48,58
2016-11-12_15:49:38,34,47,57
2016-11-12_15:49:38,34,47,57
2016-11-12_15:49:39,34,47,57
2016-11-12_15:49:40,33,47,62
2016-11-12_15:49:41,33,47,62
2016-11-12_15:49:42,33,47,62
2016-11-12_15:49:43,33,46,62
2016-11-12_15:49:43,33,46,62
2016-11-12_15:49:44,33,46,63
2016-11-12_15:49:45,33,45,63
2016-11-12_15:49:46,33,45,63
2016-11-12_15:49:47,33,45,63
2016-11-12_15:49:48,34,46,63
2016-11-12_15:49:48,34,46,63
2016-11-12_15:49:49,34,46,63
2016-11-12_15:49:50,34,47,64
2016-11-12_15:49:51,34,47,64
2016-11-12_15:49:52,34,47,64
2016-11-12_15:49:52,33,47,64
2016-11-12_15:49:53,33,47,64
2016-11-12_15:49:54,33,47,64
2016-11-12_15:49:55,33,49,66
2016-11-12_15:49:56,33,49,66
2016-11-12_15:49:57,33,49,66
2016-11-12_15:49:57,33,48,65
2016-11-12_15:49:58,33,48,65
2016-11-12_15:49:59,33,48,65
2016-11-12_15:50:00,33,47,67
2016-11-12_15:50:01,33,47,67
2016-11-12_15:50:02,33,47,67
2016-11-12_15:50:02,34,49,65
2016-11-12_15:50:03,34,49,65
2016-11-12_15:50:04,34,49,65
2016-11-12_15:50:05,33,48,62
2016-11-12_15:50:06,34,49,61
2016-11-12_15:50:07,34,49,60
2016-11-12_15:50:07,35,49,56
2016-11-12_15:50:08,34,48,55
2016-11-12_15:50:09,35,48,57
2016-11-12_15:50:10,36,48,56
2016-11-12_15:50:11,36,48,57
2016-11-12_15:50:12,38,50,56
2016-11-12_15:50:12,38,50,60
2016-11-12_15:50:13,38,50,60
2016-11-12_15:50:14,38,52,61
2016-11-12_15:50:15,39,54,64
2016-11-12_15:50:16,38,53,64
2016-11-12_15:50:17,38,53,63
2016-11-12_15:50:17,38,53,63
2016-11-12_15:50:18,38,53,63
