time,pm1,pm2.5,pm10,fpm1,fpm2.5,fpm10
2016-11-14_22:35:37,33,45,60,28,40,55
2016-11-14_22:35:38,31,45,59,27,40,55
2016-11-14_22:35:39,31,45,58,27,39,54
2016-11-14_22:35:39,31,45,58,27,39,54
2016-11-14_22:35:40,33,46,61,28,39,55
2016-11-14_22:35:41,33,46,61,28,39,55
2016-11-14_22:35:42,33,45,61,28,39,55
2016-11-14_22:35:43,34,48,64,28,41,57
2016-11-14_22:35:44,34,48,64,28,41,57
2016-11-14_22:35:44,34,48,64,28,41,57
2016-11-14_22:35:45,34,49,64,28,41,57
2016-11-14_22:35:46,34,49,64,28,41,57
2016-11-14_22:35:47,34,49,64,28,41,57
2016-11-14_22:35:48,35,50,69,28,41,59
2016-11-14_22:35:49,35,50,69,28,41,59
2016-11-14_22:35:49,35,50,69,28,41,59
2016-11-14_22:35:50,35,51,69,28,42,59
2016-11-14_22:35:51,34,50,68,27,41,58
2016-11-14_22:35:52,34,50,68,27,41,58
2016-11-14_22:35:53,34,50,66,27,41,57
2016-11-14_22:35:54,34,49,65,27,41,56
2016-11-14_22:35:54,34,49,65,27,41,56
2016-11-14_22:35:55,36,51,64,28,42,55
2016-11-14_22:35:56,36,51,64,28,42,55
2016-11-14_22:35:57,35,51,63,28,41,55
2016-11-14_22:35:58,35,51,63,28,41,55
2016-11-14_22:35:59,35,51,63,28,41,55
2016-11-14_22:35:59,35,51,63,28,41,55
2016-11-14_22:36:00,37,50,63,28,41,54
2016-11-14_22:36:01,37,50,63,28,41,54
2016-11-14_22:36:02,37,50,63,28,41,54
2016-11-14_22:36:03,37,51,63,28,41,54
2016-11-14_22:36:04,37,51,63,28,41,54
2016-11-14_22:36:04,37,51,63,28,41,54
2016-11-14_22:36:05,37,50,62,28,41,54
2016-11-14_22:36:06,37,50,62,28,41,54
2016-11-14_22:36:07,37,50,62,28,41,54
2016-11-14_22:36:08,37,50,62,28,41,54
2016-11-14_22:36:09,37,50,62,28,41,54
2016-11-14_22:36:09,37,50,62,28,41,54
2016-11-14_22:36:10,37,51,61,28,41,53
2016-11-14_22:36:11,37,51,61,28,41,53
2016-11-14_22:36:12,37,51,61,28,41,53
2016-11-14_22:36:13,38,51,56,28,41,50
2016-11-14_22:36:14,38,51,56,28,41,50
2016-11-14_22:36:14,38,51,56,28,41,50
2016-11-14_22:36:15,38,50,55,28,41,50
2016-11-14_22:36:16,38,50,55,28,41,50
2016-11-14_22:36:17,38,50,55,28,41,50
2016-11-14_22:36:18,38,51,55,28,40,50
2016-11-14_22:36:19,38,51,55,28,40,50
2016-11-14_22:36:19,38,51,55,28,40,50
2016-11-14_22:36:20,38,51,55,28,40,50
2016-11-14_22:36:21,38,51,55,28,40,50
2016-11-14_22:36:22,38,51,55,28,40,50
2016-11-14_22:36:23,38,51,55,28,40,50
2016-11-14_22:36:23,37,51,54,28,40,50
2016-11-14_22:36:24,37,51,54,28,40,50
2016-11-14_22:36:25,38,52,55,29,41,50
2016-11-14_22:36:26,38,52,55,29,41,50
2016-11-14_22:36:27,38,52,56,29,41,50
2016-11-14_22:36:28,38,52,56,29,41,50
2016-11-14_22:36:28,38,52,56,29,41,50
2016-11-14_22:36:29,38,52,56,29,41,50
2016-11-14_22:36:30,38,51,55,28,40,50
2016-11-14_22:36:31,38,51,55,28,40,50
2016-11-14_22:36:32,38,51,55,28,40,50
2016-11-14_22:36:33,40,53,60,29,41,53
2016-11-14_22:36:33,39,52,61,29,41,53
2016-11-14_22:36:34,39,52,61,29,41,53
2016-11-14_22:36:35,39,51,61,29,41,53
2016-11-14_22:36:36,38,50,60,28,41,53
2016-11-14_22:36:37,37,48,59,28,40,52
2016-11-14_22:36:38,37,48,60,28,40,53
2016-11-14_22:36:38,37,50,60,28,41,53
2016-11-14_22:36:39,38,51,61,28,41,53
2016-11-14_22:36:40,39,53,63,29,42,54
2016-11-14_22:36:41,39,51,61,29,41,53
2016-11-14_22:36:42,39,52,59,29,41,52
2016-11-14_22:36:43,39,53,59,29,41,53
2016-11-14_22:36:43,39,53,59,29,41,53
2016-11-14_22:36:44,39,53,59,29,41,53
2016-11-14_22:36:45,40,54,60,29,42,53
2016-11-14_22:36:46,40,54,60,29,42,53
2016-11-14_22:36:47,40,54,60,29,42,53
2016-11-14_22:36:48,40,54,60,29,42,53
2016-11-14_22:36:48,40,54,60,29,42,53
2016-11-14_22:36:49,40,54,60,29,42,53
2016-11-14_22:36:50,40,54,59,29,42,53
2016-11-14_22:36:51,40,54,59,29,42,52
2016-11-14_22:36:52,40,54,59,29,42,52
2016-11-14_22:36:53,40,53,56,29,42,50
2016-11-14_22:36:53,40,54,57,29,42,51
