time,pm1,pm2.5,pm10,fullserwords
2016-11-14_20:50:59,72,112,144
2016-11-14_20:51:00,124,178,230
2016-11-14_20:51:01,128,196,234
2016-11-14_20:51:02,130,166,308
2016-11-14_20:51:03,122,174,210
2016-11-14_20:51:03,100,138,172
2016-11-14_20:51:04,89,104,104
2016-11-14_20:51:05,97,130,155
2016-11-14_20:51:06,89,152,163
2016-11-14_20:51:07,71,113,131
2016-11-14_20:51:08,86,124,153
2016-11-14_20:51:08,88,127,153
2016-11-14_20:51:09,86,125,148
2016-11-14_20:51:10,88,130,147
2016-11-14_20:51:11,89,133,150
2016-11-14_20:51:12,87,131,148
2016-11-14_20:51:13,87,132,150
2016-11-14_20:51:13,87,133,150
2016-11-14_20:51:14,88,131,150
2016-11-14_20:51:15,88,131,149
2016-11-14_20:51:16,90,131,160
2016-11-14_20:51:17,90,131,158
2016-11-14_20:51:18,88,129,156
2016-11-14_20:51:18,88,129,156
2016-11-14_20:51:19,91,128,160
2016-11-14_20:51:20,91,128,160
2016-11-14_20:51:21,90,127,158
2016-11-14_20:51:22,90,125,157
2016-11-14_20:51:23,90,125,157
2016-11-14_20:51:23,90,125,157
2016-11-14_20:51:24,89,123,157
2016-11-14_20:51:25,89,123,157
2016-11-14_20:51:26,89,123,157
2016-11-14_20:51:27,91,125,156
2016-11-14_20:51:28,91,127,161
2016-11-14_20:51:28,89,124,163
2016-11-14_20:51:29,91,127,159
2016-11-14_20:51:30,91,127,165
2016-11-14_20:51:31,91,127,161
2016-11-14_20:51:32,91,125,161
2016-11-14_20:51:33,89,126,155
2016-11-14_20:51:33,88,123,152
2016-11-14_20:51:34,90,126,154
2016-11-14_20:51:35,90,126,156
2016-11-14_20:51:36,92,127,157
2016-11-14_20:51:37,93,132,161
2016-11-14_20:51:38,93,132,161
2016-11-14_20:51:38,93,132,161
2016-11-14_20:51:39,92,132,166
2016-11-14_20:51:40,92,132,166
2016-11-14_20:51:41,92,132,166
2016-11-14_20:51:42,90,129,158
2016-11-14_20:51:43,90,129,158
2016-11-14_20:51:43,90,129,158
2016-11-14_20:51:44,92,131,158
2016-11-14_20:51:45,91,130,157
2016-11-14_20:51:46,91,130,157
2016-11-14_20:51:47,101,142,169
2016-11-14_20:51:48,110,153,181
2016-11-14_20:51:48,120,168,199
2016-11-14_20:51:49,127,172,206
2016-11-14_20:51:50,130,179,209
2016-11-14_20:51:51,129,180,211
2016-11-14_20:51:52,130,180,207
2016-11-14_20:51:53,130,178,204
2016-11-14_20:51:53,130,178,206
2016-11-14_20:51:54,128,177,199
2016-11-14_20:51:55,126,175,204
2016-11-14_20:51:56,127,179,208
2016-11-14_20:51:57,129,182,210
2016-11-14_20:51:58,138,195,226
2016-11-14_20:51:58,138,195,226
2016-11-14_20:51:59,152,213,244
2016-11-14_20:52:00,150,212,242
2016-11-14_20:52:01,150,212,242
2016-11-14_20:52:02,167,229,259
2016-11-14_20:52:03,166,229,258
2016-11-14_20:52:03,166,229,258
2016-11-14_20:52:04,183,250,279
2016-11-14_20:52:05,183,250,279
2016-11-14_20:52:06,182,249,278
2016-11-14_20:52:07,195,267,296
2016-11-14_20:52:08,211,287,317
2016-11-14_20:52:09,219,298,333
