time,pm1,pm2.5,pm10,fpm1,fpm2.5,fpm10
2016-11-21_01:10:36,0,1,1,0,1,1
2016-11-21_01:10:37,0,1,1,0,1,1
2016-11-21_01:10:38,0,1,1,0,1,1
2016-11-21_01:10:39,0,1,1,0,1,1
2016-11-21_01:10:40,0,1,1,0,1,1
2016-11-21_01:10:40,0,1,3,0,1,3
2016-11-21_01:10:41,0,1,3,0,1,3
2016-11-21_01:10:42,0,1,3,0,1,3
2016-11-21_01:10:43,0,1,3,0,1,3
2016-11-21_01:10:44,0,1,3,0,1,3
2016-11-21_01:10:45,0,1,3,0,1,3
2016-11-21_01:10:45,0,1,2,0,1,2
2016-11-21_01:10:46,0,1,2,0,1,2
2016-11-21_01:10:47,0,1,2,0,1,2
2016-11-21_01:10:48,0,1,2,0,1,2
2016-11-21_01:10:49,0,1,2,0,1,2
2016-11-21_01:10:50,0,1,2,0,1,2
2016-11-21_01:10:50,0,1,2,0,1,2
2016-11-21_01:10:51,0,1,2,0,1,2
2016-11-21_01:10:52,0,1,2,0,1,2
2016-11-21_01:10:53,0,1,2,0,1,2
2016-11-21_01:10:54,0,1,2,0,1,2
2016-11-21_01:10:55,0,1,2,0,1,2
2016-11-21_01:10:55,0,1,2,0,1,2
2016-11-21_01:10:56,0,1,2,0,1,2
2016-11-21_01:10:57,0,1,2,0,1,2
2016-11-21_01:10:58,0,1,3,0,1,3
2016-11-21_01:10:59,0,1,3,0,1,3
2016-11-21_01:11:00,0,1,3,0,1,3
2016-11-21_01:11:00,0,1,3,0,1,3
2016-11-21_01:11:01,0,1,3,0,1,3
2016-11-21_01:11:02,0,1,3,0,1,3
2016-11-21_01:11:03,0,1,2,0,1,2
2016-11-21_01:11:04,0,1,2,0,1,2
2016-11-21_01:11:05,0,1,2,0,1,2
2016-11-21_01:11:05,0,1,1,0,1,1
2016-11-21_01:11:06,0,1,1,0,1,1
2016-11-21_01:11:07,0,1,1,0,1,1
2016-11-21_01:11:08,0,1,1,0,1,1
2016-11-21_01:11:09,0,1,1,0,1,1
2016-11-21_01:11:09,0,1,1,0,1,1
2016-11-21_01:11:10,0,1,1,0,1,1
2016-11-21_01:11:11,0,1,1,0,1,1
2016-11-21_01:11:12,0,1,1,0,1,1
