time,pm1,pm2.5,pm10,fullserwords
2016-11-14_20:55:54,101,142,174
2016-11-14_20:55:54,101,142,174
2016-11-14_20:55:55,101,141,175
2016-11-14_20:55:56,101,141,175
2016-11-14_20:55:57,101,141,175
2016-11-14_20:55:58,102,140,177
2016-11-14_20:55:59,102,140,177
2016-11-14_20:55:59,102,140,177
2016-11-14_20:56:00,103,141,178
2016-11-14_20:56:01,103,141,178
2016-11-14_20:56:02,103,141,178
2016-11-14_20:56:03,104,141,177
2016-11-14_20:56:04,104,141,177
2016-11-14_20:56:04,104,141,177
2016-11-14_20:56:05,104,141,178
2016-11-14_20:56:06,104,141,178
2016-11-14_20:56:07,104,141,178
2016-11-14_20:56:08,105,144,183
2016-11-14_20:56:09,106,145,185
2016-11-14_20:56:09,105,144,183
2016-11-14_20:56:10,106,144,183
2016-11-14_20:56:11,107,143,177
2016-11-14_20:56:12,104,141,172
2016-11-14_20:56:13,109,145,173
2016-11-14_20:56:14,108,146,170
2016-11-14_20:56:14,107,149,172
2016-11-14_20:56:15,106,148,169
2016-11-14_20:56:16,104,143,165
2016-11-14_20:56:17,98,137,154
2016-11-14_20:56:18,99,136,155
2016-11-14_20:56:19,94,131,152
2016-11-14_20:56:19,91,127,149
2016-11-14_20:56:20,89,127,151
2016-11-14_20:56:21,83,119,148
2016-11-14_20:56:22,84,119,151
2016-11-14_20:56:23,82,116,148
2016-11-14_20:56:24,84,116,148
2016-11-14_20:56:24,85,117,149
2016-11-14_20:56:25,84,115,146
2016-11-14_20:56:26,77,108,139
2016-11-14_20:56:27,79,113,142
2016-11-14_20:56:28,86,119,148
2016-11-14_20:56:29,87,120,149
2016-11-14_20:56:29,87,119,143
2016-11-14_20:56:30,84,119,141
2016-11-14_20:56:31,86,122,143
2016-11-14_20:56:32,86,122,143
2016-11-14_20:56:33,86,123,149
2016-11-14_20:56:34,86,123,149
2016-11-14_20:56:34,86,123,149
2016-11-14_20:56:35,88,126,157
2016-11-14_20:56:36,88,126,157
2016-11-14_20:56:37,88,126,157
2016-11-14_20:56:38,92,131,166
2016-11-14_20:56:39,92,131,165
2016-11-14_20:56:39,92,131,165
2016-11-14_20:56:40,101,141,178
2016-11-14_20:56:41,102,144,181
2016-11-14_20:56:42,98,140,181
2016-11-14_20:56:43,104,145,187
2016-11-14_20:56:44,107,152,193
2016-11-14_20:56:44,104,145,185
2016-11-14_20:56:45,103,142,183
2016-11-14_20:56:46,101,141,175
2016-11-14_20:56:47,101,140,168
2016-11-14_20:56:48,96,136,163
2016-11-14_20:56:49,89,125,149
2016-11-14_20:56:49,83,118,138
2016-11-14_20:56:50,79,112,129
2016-11-14_20:56:51,79,112,129
2016-11-14_20:56:52,79,112,129
2016-11-14_20:56:53,75,106,122
2016-11-14_20:56:54,72,103,118
2016-11-14_20:56:54,75,104,122
2016-11-14_20:56:55,74,104,120
2016-11-14_20:56:56,74,105,120
2016-11-14_20:56:57,72,104,122
2016-11-14_20:56:58,75,108,127
2016-11-14_20:56:59,77,113,137
2016-11-14_20:56:59,77,114,139
2016-11-14_20:57:00,83,122,151
2016-11-14_20:57:01,83,124,154
2016-11-14_20:57:02,83,123,155
2016-11-14_20:57:03,85,126,158
2016-11-14_20:57:04,85,126,158
2016-11-14_20:57:04,85,126,158
